AppSheet_Item_ID,AppSheet_Item_Name,Clean Name,Name Key
57a5617b,Mirinda orange,mirinda orange,mirindaorange
bb4d1bd1,Snickers wafer roll,snickers wafer roll,snickerswaferroll
406a1fee,Mirinda Bitter Soda,mirinda bitter soda,mirindabittersoda
561399a6,Yupi,yupi,yupi
e9e2a383,Be happy,be happy,behappy
8ed00567,BEM&Bo,bem&bo,bembo
220a28b9,Milka,milka,milka
f998044c,Kinder schokolade,kinder schokolade,kinderschokolade
70bdbe11,Schweppes pineapple,schweppes pineapple,schweppespineapple
eda833ca,Mr crunch normal,mr crunch normal,mrcrunchnormal
951a092f,Daddy chips,daddy chips,daddychips
6c787857,Minicco,minicco,minicco
7221daf3,Milka,milka,milka
c22010ef,Doritos ketchup jalapeno,doritos ketchup jalapeno,doritosketchupjalapeno
