machine_id,machine_name,point_name,vms_product_number,vms_product_name,inventory_capacity,inventory_quantity,fill_percent_product,slot_code,par_level,min_level
2509000369,Istiklal,,32.0,SunTop Almarai Chocolate,7.0,5.0,0.7142857143,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2509000369,Istiklal,,64.0,Almarai Strawberry,7.0,4.0,0.5714285714,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2509000369,Istiklal,,98.0,Barbican,6.0,4.0,0.6666666667,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2509000369,Istiklal,,23.0,Freez,6.0,4.0,0.6666666667,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2509000369,Istiklal,,5.0,Schweppes,12.0,10.0,0.8333333333,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2509000369,Istiklal,,108.0,Shada up,6.0,6.0,1,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2509000369,Istiklal,,29.0,Pepsi,16.0,11.0,0.6875,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2509000369,Istiklal,,54.0,Mirinda,8.0,5.0,0.625,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2509000369,Istiklal,,99.0,Shani,8.0,5.0,0.625,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2509000369,Istiklal,,115.0,Lavazza,8.0,5.0,0.625,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2509000369,Istiklal,,36.0,Kunuz Juice,8.0,3.0,0.375,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2509000369,Istiklal,,44.0,Caser Juice,8.0,7.0,0.875,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2509000369,Istiklal,,11.0,X!R,24.0,16.0,0.6666666667,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2509000369,Istiklal,,2.0,Water,60.0,49.0,0.8166666667,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
