vms_product_number,vms_product_name,appsheet_item_id,appsheet_item_name,clean_name,name_key
TO_CONFIRM,TO_CONFIRM,d0a21a3b,Browniz moulin,browniz moulin,brownizmoulin
90,Marie biscuit,d0f577e2,Marie biscuit,marie biscuit,mariebiscuit
TO_CONFIRM,TO_CONFIRM,2f2e7440,Crico,crico,crico
97,Doritos nacho,12b96290,Doritos nacho,doritos nacho,doritosnacho
TO_CONFIRM,TO_CONFIRM,73c36157,Alain mini cola,alain mini cola,alainminicola
102,Buldak,cc35c9db,Buldak,buldak,buldak
96,Doritos green hot,d5b5f9d1,Doritos green hot,doritos green hot,doritosgreenhot
98,Barbican,78233e6f,Barbican,barbican,barbican
137,Doritos red hot,0af806f8,Doritos red hot,doritos red hot,doritosredhot
TO_CONFIRM,TO_CONFIRM,bb6c2490,Mr Crunch Tarbouch,mr crunch tarbouch,mrcrunchtarbouch
TO_CONFIRM,TO_CONFIRM,b77b1c64,Bonucci souffle,bonucci souffle,bonuccisouffle
126,Coach Suntop,83dd14b5,Coach suntop,coach suntop,coachsuntop
117,Wafer Laviva,ccaf1c68,Wafer Laviva,wafer laviva,waferlaviva
99,Shani,a3f74383,Shani,shani,shani
TO_CONFIRM,TO_CONFIRM,ed187a9e,X!R  BERRY,x!r berry,xrberry
TO_CONFIRM,TO_CONFIRM,bfd1b639,Xr mango,xr mango,xrmango
TO_CONFIRM,TO_CONFIRM,b112660a,Caesar berry,caesar berry,caesarberry
TO_CONFIRM,TO_CONFIRM,649eaeb5,Schwppes,schwppes,schwppes
5,Schweppes,f38e69c5,Schweppes,schweppes,schweppes
TO_CONFIRM,TO_CONFIRM,3e9fa8d9,Kinza cola,kinza cola,kinzacola
TO_CONFIRM,TO_CONFIRM,27febea6,Maxxx chips,maxxx chips,maxxxchips
TO_CONFIRM,TO_CONFIRM,3945efc9,Mulino  oat cookies,mulino oat cookies,mulinooatcookies
114,Tiger excellence,c099f042,Tiger excellence,tiger excellence,tigerexcellence
TO_CONFIRM,TO_CONFIRM,cd21eb57,Chillax corn chips,chillax corn chips,chillaxcornchips
TO_CONFIRM,TO_CONFIRM,b3204174,Shocks potato,shocks potato,shockspotato
123,Lexus,360bd4d4,Lexus,lexus,lexus
122,Savi stix,f30d8158,Savi stix,savi stix,savistix
119,Turbo strips,cf6c9481,Turbo strips,turbo strips,turbostrips
TO_CONFIRM,TO_CONFIRM,ee3cf870,Wellness,wellness,wellness
106,Toblerone,7cd3aac7,Toblerone,toblerone,toblerone
TO_CONFIRM,TO_CONFIRM,9d0be7b3,Milka choco cow,milka choco cow,milkachococow
36,vitrac,0f694cb5,Vitrac,vitrac,vitrac
TO_CONFIRM,TO_CONFIRM,d8e8d66a,Shada,shada,shada
TO_CONFIRM,TO_CONFIRM,1b6b5ed6,Rayhan,rayhan,rayhan
134,Yumi Zak,c80ae9f2,Yumi Zak,yumi zak,yumizak
TO_CONFIRM,TO_CONFIRM,1039e79c,Activ,activ,activ
142,Sweeto jelly,cb9e809e,Sweeto Jelly,sweeto jelly,sweetojelly
139,Galaxy wafer roll,a19879cf,Galaxy Wafer roll,galaxy wafer roll,galaxywaferroll
140,Bounty wafer roll,27c8f623,Bounty Wafer roll,bounty wafer roll,bountywaferroll
138,Twix wafer roll,02d86a9b,Twix wafer roll,twix wafer roll,twixwaferroll
TO_CONFIRM,TO_CONFIRM,57a5617b,Mirinda orange,mirinda orange,mirindaorange
145,Snickers wafer roll,bb4d1bd1,Snickers wafer roll,snickers wafer roll,snickerswaferroll
TO_CONFIRM,TO_CONFIRM,406a1fee,Mirinda Bitter Soda,mirinda bitter soda,mirindabittersoda
135,Yupi,561399a6,Yupi,yupi,yupi
TO_CONFIRM,TO_CONFIRM,e9e2a383,Be happy,be happy,behappy
TO_CONFIRM,TO_CONFIRM,8ed00567,BEM&Bo,bem&bo,bembo
TO_CONFIRM,TO_CONFIRM,220a28b9,Milka,milka,milka
TO_CONFIRM,TO_CONFIRM,f998044c,Kinder schokolade,kinder schokolade,kinderschokolade
TO_CONFIRM,TO_CONFIRM,70bdbe11,Schweppes pineapple,schweppes pineapple,schweppespineapple
47,MrCrunch Normal,eda833ca,Mr crunch normal,mr crunch normal,mrcrunchnormal
TO_CONFIRM,TO_CONFIRM,951a092f,Daddy chips,daddy chips,daddychips
TO_CONFIRM,TO_CONFIRM,6c787857,Minicco,minicco,minicco
TO_CONFIRM,TO_CONFIRM,7221daf3,Milka,milka,milka
TO_CONFIRM,TO_CONFIRM,c22010ef,Doritos ketchup jalapeno,doritos ketchup jalapeno,doritosketchupjalapeno
