LineID,PurchaseID,ItemID,QtyPieces,UnitCost,BoxesQty,ReceivedUnits,PackSizeUsed
5185094b,232714fb,0032,,2,1,27,27
c46554dc,232714fb,0064,,2.08,1,27,27
9ca85e54,0faa5a7d,a19879cf,,,5,120,24
643ad49c,0faa5a7d,bb4d1bd1,,,2,48,24
eee06347,0faa5a7d,02d86a9b,,,3,72,24
cc92df98,0faa5a7d,0014,60,5.9,,60,
dbbff4a9,0faa5a7d,220a28b9,17,,,17,
2592cc60,0faa5a7d,0019,,1.33,2,48,24
e2399ccd,078be5f0,0002,,0.3,50,600,12
0d604ac4,042d8e4c,0033,,1.33,1,24,24
953f6e7d,042d8e4c,6c787857,,,1,24,24
decd33c9,2e4b81ab,0021,,2.25,2,48,24
39c014ab,e2ae3eda,0002,,0.3,50,600,12
