LineID,PurchaseID,ItemID,QtyPieces,UnitCost,BoxesQty,ReceivedUnits,PackSizeUsed
b0346496,afbcc7d1,f2959682,,1,,,
da40e9b8,a325dbef,f2959682,,1,,,
e9653578,c6aff753,f2959682,1,1,,,
a1f767c6,31ff09fe,0086,100,4.7,,,
c249c575,e7b42511,f2959682,1,1,,,
b93c1383,8a70271d,0086,70,4.7,,,
86464f2b,a5df8846,f2959682,1,1,,,
98ddf6b7,8c868700,f2959682,0,1,,,
160861b7,78bf660c,0002,600,0.3,,,
8e986f03,1e8e1725,c099f042,80,,,,
706e0fbf,205b5873,c80ae9f2,12,4.5,,,
0fa66f6f,205b5873,cf6c9481,16,,,,
bf81c9b2,205b5873,1039e79c,12,,,,
0e8ae15b,e6061ec0,12b96290,30,2.8,,,
33dc146c,e6061ec0,0001,75,2.8,,,
4e7d4635,e6061ec0,0af806f8,195,2.66,,,
1121bc9c,699bb18e,0025,10,4.64,,,
534eee23,699bb18e,0014,20,5.9,,,
e171013b,699bb18e,cf6c9481,80,,,,
075b2234,081080d2,12b96290,15,2.8,,,
8c604ecb,081080d2,0001,165,2.8,,,
5e40f867,081080d2,0af806f8,120,2.66,,,
f9940e55,5edb299b,0032,81,2,,,
c30e0b5a,5edb299b,0038,18,6.12,,,
c5f193e7,5edb299b,0029,72,2.25,,,
0afeb2e3,5911af10,0049,48,1.93,,,
0e5dfaef,5911af10,0025,10,4.64,,,
4f536c26,5911af10,0014,10,5.9,,,
27aae9b8,bef5de38,0011,96,3.5,,,
faabfa13,bef5de38,83dd14b5,96,0.45,,,
05c371c4,5a06a350,0003,24,4.88,,,
9b2e7bf3,5a06a350,0019,120,1.33,,,
a3a6289d,5a06a350,0054,48,2.25,,,
f27fb694,5a06a350,83dd14b5,72,0.45,,,
d66b311c,b19189c2,c80ae9f2,12,4.5,,,
1074f005,b19189c2,0014,10,5.9,,,
8b229d6e,b19189c2,0027,50,3.28,,,
8e74c45d,b19189c2,0025,20,4.64,,,
7662b4c4,b19189c2,0049,24,1.93,,,
6c25211b,b19189c2,0030,10,4.45,,,
4bb7cea5,b19189c2,0086,10,4.7,,,
1beb47fc,bcb95171,0001,105,2.8,,,
b7d2a755,bcb95171,0af806f8,105,2.66,,,
4e170e67,bcb95171,c099f042,40,,,,
7d8529c1,5f9fc030,0027,25,3.28,,,
3acfc3cf,5f9fc030,0014,10,5.9,,,
571fb792,5f9fc030,cd21eb57,48,,,,
0428c63a,7c315092,bb6c2490,126,2.78,,,
fb03da86,7c315092,0021,72,2.25,,,
519d6854,7c315092,0064,27,2.08,,,
9cf372bf,7c315092,0019,96,1.33,,,
f47862b9,666228c0,0002,600,0.3,,,
4f1fc02d,a02d1fa8,0001,21,2.8,,,
0e9c4abf,24f2992a,0011,120,3.5,,,
28ba9016,49781d38,0029,72,2.25,,,
6ed8090f,49781d38,83dd14b5,120,0.45,,,
414152a4,49781d38,1b6b5ed6,120,,,,
e0bb1e06,e44fac19,0030,10,4.45,,,
25457c5a,fa326fde,0001,705,2.8,,,
343a23e8,fa326fde,bb6c2490,90,2.78,,,
e1c6944c,fa326fde,0011,120,3.5,,,
56cb97b4,4d8053dc,0032,108,2,,,
68a7dff2,f1314e9b,0021,72,2.25,,,
2b615241,f1314e9b,0029,168,2.25,,,
98c3a863,f1314e9b,83dd14b5,144,0.45,,,
5ace2728,58f0f51e,0011,120,3.5,,,
96247439,58f0f51e,0032,162,2,,,
301929d7,8fe7beb3,0002,480,0.3,,,
dd730e2c,2200b6da,0021,96,2.25,,,
41f1fb14,2200b6da,0016,24,0.92,,,
b6d70bc5,edecceb3,0049,60,1.93,,,
692bed82,30ca239d,12b96290,105,2.8,,,
3443655f,30ca239d,b3204174,100,,,,
ff6a126a,43f4b2f6,0049,42,1.93,,,
5947ae88,43f4b2f6,cf6c9481,48,,,,
a21f3a11,43f4b2f6,0086,50,4.7,,,
6447d849,35cb0a30,,,,,,
a23b2766,35cb0a30,a19879cf,24,,,,
5a3626f6,35cb0a30,27c8f623,24,,,,
3329d897,35cb0a30,02d86a9b,24,,,,
4d11cb5b,fd017c96,0001,60,2.8,,,
,,,,,,,
2bde9ce7,fd017c96,bb6c2490,72,2.78,,,
596465ea,fd017c96,c099f042,40,,,,
da32693b,fd017c96,83dd14b5,240,0.45,,,
978bbea4,f00c0ff5,0029,96,2.25,,,
b283eade,f00c0ff5,0054,42,2.25,,,
972ac7be,f00c0ff5,a3f74383,24,2.25,,,
1af3c1ed,f00c0ff5,699ad05d,24,,,,
9b80fd68,db31e3f8,d5b5f9d1,30,2.6,,,
6e19312c,e5fb83ab,cb9e809e,60,,,,
4ea53d63,e5fb83ab,a19879cf,42,,,,
ce2394ad,e5fb83ab,02d86a9b,24,,,,
966302c0,e5fb83ab,27c8f623,24,,,,
4846cf0a,e5fb83ab,bb4d1bd1,24,,,,
70d8353d,e5fb83ab,0021,42,2.25,,,
15d19515,e5fb83ab,57a5617b,42,,,,
8d403860,e5fb83ab,0001,135,2.8,,,
e8a93825,e5fb83ab,0af806f8,45,2.66,,,
2e6404ac,e5fb83ab,12b96290,30,2.8,,,
336ae5d9,e5fb83ab,d5b5f9d1,90,2.6,,,
8d4abd04,e420d6a9,cf6c9481,96,,,,
f73b04f9,fbd124cf,bb6c2490,126,2.78,,,
92a0ed17,fbd124cf,c099f042,60,,,,
5fe0bf3b,82c76ea5,0011,120,3.5,,,
fa52c8ce,c71a5b2c,0019,96,1.33,,,
6c35ebde,c71a5b2c,0029,72,2.25,,,
b6eb9ac7,c71a5b2c,a3f74383,24,2.25,,,
c3a8e7fc,c71a5b2c,0054,24,2.25,,,
d086a420,c71a5b2c,0af806f8,60,2.66,,,
a72a32c4,c71a5b2c,12b96290,90,3,,,
eb5b8558,c71a5b2c,0001,75,2.8,,,
9231ff7c,c71a5b2c,0011,48,3.5,,,
50558860,0aabb6d2,0086,50,4.7,,,
18773adf,0aabb6d2,0027,30,3.28,,,
1389f293,0aabb6d2,0014,20,5.9,,,
b873f41d,1144b357,02d86a9b,24,,,,
8e881d32,1144b357,bb4d1bd1,48,,,,
ec2a98f9,1144b357,a19879cf,72,,,,
5f816593,1144b357,0f694cb5,48,,,,
254be214,1144b357,0064,54,2.08,,,
fd4dd005,1144b357,0032,54,2,,,
14d80b99,1144b357,cb9e809e,72,,,,
ccbe772a,1144b357,0049,48,1.93,,,
f23ce909,1144b357,0021,24,2.25,,,
2565d1bf,de4ec195,0002,600,0.3,,,
88754900,c71a5b2c,bb6c2490,36,2.78,,,
ebeb7b14,6502020e,0010,14,5.83,,,
ead8ce07,6502020e,0086,80,4.7,,,
d7590c41,0717bd0b,bb6c2490,108,2.78,,,
347f81c9,0717bd0b,bb4d1bd1,72,,,,
8ece2c0e,0717bd0b,02d86a9b,48,,,,
3cec928e,0717bd0b,27c8f623,48,,,,
b5d0d234,0717bd0b,0021,24,2.25,,,
4c020ca9,0717bd0b,0011,48,3.5,,,
5a0ed536,161a86ec,12b96290,75,3,,,
9bb46db2,161a86ec,0001,150,2.8,,,
e124ebbd,161a86ec,0054,48,2.25,,,
b6829c28,dd9b4145,0002,600,0.3,,,
6a8804c1,90f9d1f9,0014,20,5.9,,,
54c7634d,868835ce,0011,120,3.5,,,
42b2fed8,7a0e9897,0029,72,2.25,,,
87bea15e,7a0e9897,0032,54,2,,,
ae6221cb,4087a248,a19879cf,24,,,,
df9639ec,4087a248,27c8f623,24,,,,
d0ab429f,4087a248,02d86a9b,24,,,,
5fd21417,20efc97b,0011,72,3.5,,,
a513d075,20efc97b,0001,75,2.8,,,
11a34bc0,20efc97b,12b96290,75,3,,,
fe823021,20efc97b,0029,48,2.25,,,
8b0e257a,20efc97b,0021,48,2.25,,,
e4752543,1a253598,0049,24,1.93,,,
db3e4dd2,1a253598,cb9e809e,12,,,,
b32c9d07,41b292a0,0011,240,3.5,,,
e47b2332,41b292a0,c099f042,140,,,,
f956a2c8,41b292a0,83dd14b5,240,0.45,,,
9b21841a,41b292a0,0019,72,1.33,,,
4eac2d3f,316f5491,0021,120,2.25,,,
a964cadc,316f5491,0033,24,1.33,,,
35079701,316f5491,0038,16,6.12,,,
efd5d69f,316f5491,0001,195,2.8,,,
3615bba9,316f5491,12b96290,105,3,,,
f2609c7f,316f5491,0054,48,2.25,,,
f8ff3508,316f5491,a3f74383,48,2.25,,,
5e5b2a18,316f5491,57a5617b,24,,,,
83c8077e,011b17d4,bb6c2490,144,2.78,,,
82ca5495,011b17d4,bb4d1bd1,72,,,,
48661d47,011b17d4,0005,24,2,,,
1fca08bc,011b17d4,a19879cf,72,,,,
ad162167,011b17d4,02d86a9b,48,,,,
f696e40e,011b17d4,27c8f623,48,,,,
6fd96e25,011b17d4,0014,10,5.9,,,
167cdb77,011b17d4,cb9e809e,84,,,,
3147d5be,011b17d4,0049,48,1.93,,,
b846737a,fa6cc36f,0086,60,4.7,,,
0810a8f1,fa6cc36f,cf6c9481,22,,,,
07e806b3,ad41d324,0029,120,2.25,,,
a5d1cabf,ad41d324,0054,72,2.25,,,
3296c55a,ad41d324,a3f74383,72,2.25,,,
09d023ee,ad41d324,0053,24,2.25,,,
81abd1ce,bd35a5cf,0002,600,0.3,,,
ce31ff02,fb914ad9,0027,25,3.28,,,
2d990937,fb914ad9,cf6c9481,40,,,,
9334cc5c,fb914ad9,0049,48,1.93,,,
dee216ed,fb914ad9,0086,40,4.7,,,
a600e82e,a48e4ced,0011,48,3.5,,,
002a75ef,a48e4ced,bb6c2490,36,2.78,,,
1274a1da,a48e4ced,c099f042,80,,,,
36360316,a48e4ced,83dd14b5,240,0.45,,,
88193fe0,ffb86cee,0001,75,2.8,,,
3bd97a50,ffb86cee,12b96290,30,3,,,
1b0d794e,ffb86cee,0af806f8,45,2.66,,,
bcdc1e12,ffb86cee,0019,72,1.33,,,
2eee6df3,ffb86cee,0021,48,2.25,,,
d3e52aaf,ffb86cee,0029,24,2.25,,,
285cf01b,ffb86cee,0005,24,2,,,
d684c0e8,ffb86cee,0064,81,2.08,,,
2ca80b90,ffb86cee,0032,81,2,,,
b11d5d6a,ffb86cee,1b6b5ed6,120,,,,
fc28a547,ffb86cee,0038,16,6.12,,,
7697b718,ffb86cee,bb6c2490,36,2.78,,,
f75d067e,bb81e412,cb9e809e,60,,,,
c88ced99,bb81e412,bb4d1bd1,48,,,,
45f76613,bb81e412,02d86a9b,72,,,,
87eec690,bb81e412,a19879cf,120,,,,
406882ee,4f7d1480,0014,10,5.9,,,
1932945b,4f7d1480,0086,30,4.7,,,
2517498f,4dee2d99,0011,72,3.5,,,
d75b4a7c,4dee2d99,0021,120,2.25,,,
89f348d6,4dee2d99,bb6c2490,36,2.78,,,
c8d4286b,4dee2d99,0029,96,2.25,,,
b65dcdfc,4dee2d99,0054,24,2.25,,,
de2e6e04,4dee2d99,649eaeb5,48,,,,
d71f2763,4dee2d99,0001,150,2.8,,,
93fd2dee,4dee2d99,0019,48,1.33,,,
ffc86fb3,4dee2d99,f998044c,20,,,,
825cf0fe,4dee2d99,220a28b9,12,,,,
7cabd2c1,c8a65d6e,cb9e809e,60,,,,
2c98ef4a,c8a65d6e,0049,48,1.93,,,
e48eeaa0,c8a65d6e,27c8f623,72,,,,
448522d0,c8a65d6e,a19879cf,72,,,,
92c7dfa7,c8a65d6e,bb4d1bd1,96,,,,
89fc9a90,9fead2ae,0086,20,4.7,,,
0ea2dd13,9fead2ae,c80ae9f2,12,4.5,,,
b7450662,9fead2ae,0014,10,5.9,,,
0fac0de4,9fead2ae,0018,7,24,,,
d081f76f,9fead2ae,bb6c2490,180,2.78,,,
03eeb86e,9fead2ae,cf6c9481,10,,,,
eb276cf6,03ab8e87,0002,720,0.3,,,
5c092b7e,a1578cc1,0018,5,24,,,
da315e04,a1578cc1,0024,10,2.4,,,
30cf9659,fc1fe687,0f694cb5,48,,,,
e12ac01a,3c818630,0014,30,5.9,,,
a7a5bed5,2f593f55,0af806f8,90,2.66,,,
bad0164a,2f593f55,0001,60,2.8,,,
86ea96b9,2529f781,0027,50,3.28,,,
35b769ef,9fead2ae,0063,20,5,,,
e7306737,cabe7632,ed187a9e,24,3.5,,,
a47c2b6e,cabe7632,0033,24,1.33,,,
