product_id,sku,name,description,image,selling_price,purchase_price,min_stock,importance,product_group,barcode,units_per_box,sku_generated
0041,0041,Pretzels,,Items_Images/pretzels.jpg,5.0,3.5,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0040,0040,KitKat,,Items_Images/kitkat.webp,5.0,3.63,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0039,0039,Feiny Biscuits,,,10.0,7.91,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0038,0038,Lovita cookies,,Items_Images/0038.Image.161358.jpg,8.0,6.12,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,16.0,no
0037,0037,Digestive,,Items_Images/0037.Image.161157.jpg,1.0,0.63,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0036,0036,Kunuz Juice,,Items_Images/kunuz.jpeg,3.0,2.0,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0035,0035,Sirma,,,4.0,3.0,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0033,0033,Corissant Karuzo,,Items_Images/karuzo.jpg,4.0,1.33,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,24.0,no
0032,0032,SunTop Almarai Chocolate,,Items_Images/0032.Image.142846.jpg,3.0,2.0,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,27.0,no
0031,0031,Rauch Drink,,,10.0,8.25,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0030,0030,Mars,,Items_Images/mars.jpg,6.0,4.45,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0029,0029,Pepsi,,Items_Images/pepsi.jpg,3.0,2.25,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,24.0,no
0028,0028,Snickers,,Items_Images/0028.Image.144401.jpg,6.0,4.45,5.0,TO_CONFIRM,Chocolate,TO_CONFIRM,TO_CONFIRM,no
0027,0027,Gardena,,Items_Images/0027.Image.220057.jpg,4.0,3.28,5.0,TO_CONFIRM,Chocolate,TO_CONFIRM,25.0,no
0026,0026,Bounty,,Items_Images/bounty.jpg,5.0,3.75,5.0,TO_CONFIRM,Chocolate,TO_CONFIRM,TO_CONFIRM,no
0025,0025,Twix,,Items_Images/0025.Image.144117.jpg,6.0,4.64,5.0,TO_CONFIRM,Chocolate,TO_CONFIRM,TO_CONFIRM,no
0024,0024,kinder delice,,,3.0,2.4,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0023,0023,Freez,,Items_Images/freez.jpeg,5.0,3.41,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0022,0022,bonart,,Items_Images/bonart.jpeg,5.0,2.92,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0021,0021,Laviva,,Items_Images/0021.Image.143044.jpg,3.0,2.25,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,24.0,no
0020,0020,mm,,Items_Images/m&m.jpg,5.0,3.79,5.0,TO_CONFIRM,Chocolate,TO_CONFIRM,TO_CONFIRM,no
0019,0019,mr bite,,Items_Images/mrbite.jpeg,2.0,1.33,5.0,TO_CONFIRM,Chocolate,TO_CONFIRM,24.0,no
0018,0018,Takis,,Items_Images/0018.Image.100026.jpg,30.0,24.0,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0017,0017,Doritos Dinamita,,Items_Images/doritos_dinamita.jpg,12.0,7.0,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0016,0016,wafe'up,,Items_Images/wafeup.jpg,2.0,0.92,5.0,TO_CONFIRM,Chocolate,TO_CONFIRM,TO_CONFIRM,no
0015,0015,kinza lemon,,Items_Images/0015.Image.143447.jpg,2.0,1.54,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0014,0014,Kinder Bueno,,Items_Images/bueno.webp,7.0,5.9,5.0,TO_CONFIRM,Chocolate,TO_CONFIRM,TO_CONFIRM,no
0012,0012,sunTop,,Items_Images/suntop.jpg,1.0,0.6,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0011,0011,X!R,,Items_Images/0011.Image.142239.jpg,5.0,3.5,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,24.0,no
0010,0010,Skittles,,Items_Images/0010.Image.145400.jpg,8.0,5.83,5.0,TO_CONFIRM,Chocolate,TO_CONFIRM,TO_CONFIRM,no
0009,0009,Pepsi 500ml,,,3.0,1.83,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0008,0008,Xo Energy,,,5.0,3.45,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0006,0006,Tiger *12 cheese,,Items_Images/0006.Image.135345.jpg,5.0,3.08,5.0,5.0,Tiger,TO_CONFIRM,TO_CONFIRM,no
0005,0005,Schweppes,,Items_Images/0005.Image.134253.jpg,3.0,2.0,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0004,0004,Skittles drink,,,8.0,4.75,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
0003,0003,Maltesers,,Items_Images/maltesers.jpg,6.0,4.88,5.0,TO_CONFIRM,Chocolate,TO_CONFIRM,TO_CONFIRM,no
