Month,Machine,Product,Sales,Profit,Units,AvgPrice,ProfitPerUnit,SPI_Units,SPI_Profit,SPI_Final
45870,HospAlmoa,Pretzels,170,59.5,34,5,1.75,7.657657658,19.14414414,12.82657658
45870,HospAlmoa,Rauch Drink,66,8.25,7,9.428571429,1.178571429,1.576576577,2.654440154,2.061615187
45870,HospAlmoa,Schweppes,84,28,28,3,1,6.306306306,9.009009009,7.522522523
45870,HospAlmoa,Sirma,20,5,5,4,1,1.126126126,1.608751609,1.343307593
45870,HospAlmoa,Snickers,134,-10,32,4.1875,-0.3125,7.207207207,-3.217503218,2.516087516
45870,HospAlmoa,Tiger *12,580,222.72,116,5,1.92,26.12612613,71.66023166,46.61647362
45870,HospAlmoa,Twix,180,54,36,5,1.5,8.108108108,17.37451737,12.27799228
45870,HospAlmoa,Water,444,310.8,444,1,0.7,100,100,100
45870,HospAlmoa,X!R,605,122,138,4.384057971,0.884057971,31.08108108,39.25353925,34.75868726
45870,HospAlmoa,kinza,26,5.98,13,2,0.46,2.927927928,1.924066924,2.476190476
45870,HospAlmoa,mr bite,198,66.33,99,2,0.67,22.2972973,21.34169884,21.86727799
45870,HospAlmoa,sunTop,160,68.2,153,1.045751634,0.445751634,34.45945946,21.94337194,28.82722008
45901,DPMall,Doritos Dinamita,87,87,9,9.666666667,9.666666667,1.679104478,15.70397112,7.990294466
45901,DPMall,Doritos nacho,535,535,107,5,5,19.96268657,96.57039711,54.43615631
45901,DPMall,Freez drink,60,60,12,5,5,2.23880597,10.83032491,6.104989493
45901,DPMall,Gardena,35,35,7,5,5,1.305970149,6.317689531,3.561243871
45901,DPMall,Green,57,57,19,3,3,3.544776119,10.28880866,6.579590765
45901,DPMall,Laviva,93,93,31,3,3,5.78358209,16.78700361,10.73512177
45901,DPMall,Maltesers,120,120,20,6,6,3.731343284,21.66064982,11.79953122
45901,DPMall,Marshmellow sweetBag,15,15,3,5,5,0.5597014925,2.707581227,1.526247373
45901,DPMall,Tiger *12,440,440,88,5,5,16.41791045,79.42238267,44.76992295
45901,DPMall,Wafe up extra,65,65,13,5,5,2.425373134,11.73285199,6.613738617
45901,DPMall,Water,554,554,536,1.03358209,1.03358209,100,100,100
45901,DPMall,X!R,470,470,94,5,5,17.53731343,84.83754513,47.82241769
45901,DPMall,bonart sour,135,135,27,5,5,5.037313433,24.36823105,13.73622636
45901,DPMall,helo kitty,114,114,38,3,3,7.089552239,20.57761733,13.15918153
45901,DPMall,ifrui juice,57,57,19,3,3,3.544776119,10.28880866,6.579590765
45901,DPMall,kinder bueno,78,78,13,6,6,2.425373134,14.07942238,7.669695296
45901,DPMall,kinza,188,188,83,2.265060241,2.265060241,15.48507463,33.93501805,23.78754917
45901,DPMall,kitkat,42,42,6,7,7,1.119402985,7.581227437,4.027223988
45901,DPMall,mr bite,62,62,27,2.296296296,2.296296296,5.037313433,11.19133574,7.806623471
45901,DPMall,ono cake,34,34,14,2.428571429,2.428571429,2.611940299,6.137184116,4.198300016
45901,DPMall,pepsi 500ml,48,48,16,3,3,2.985074627,8.664259928,5.540708012
45901,DPMall,schweppers,8,8,4,2,2,0.7462686567,1.444043321,1.060267256
45901,DPMall,snickers,62,62,31,2,2,5.78358209,11.19133574,8.217071232
45901,DPMall,sunTop,243,243,226,1.075221239,1.075221239,42.1641791,43.86281588,42.92856566
45901,DPMall,vitaGo,48,48,12,4,4,2.23880597,8.664259928,5.130260251
45901,DPMall,xo energy,57,57,19,3,3,3.544776119,10.28880866,6.579590765
45901,HTMall,7up,81,20.25,27,3,0.75,2.573879886,2.713386038,2.636657654
45901,HTMall,Bounty,50,12.5,10,5,1.25,0.9532888465,1.674929653,1.278027209
45901,HTMall,Doritos Dinamita,10,-4,2,5,-2,0.1906577693,-0.5359774889,-0.1363280969
45901,HTMall,Doritos cool ranc,600,264,120,5,2.2,11.43946616,35.37451427,22.21023781
45901,HTMall,Freez,73,21.85,15,4.866666667,1.456666667,1.42993327,2.927777033,2.103962963
45901,HTMall,Haribo,159,66.25,53,3,1.25,5.052430887,8.877127161,6.77354421
45901,HTMall,Kinder Bueno,108,3.6,18,6,0.2,1.715919924,0.4823797401,1.160826841
45901,HTMall,Kinder bueno1stick,80,20,20,4,1,1.906577693,2.679887445,2.254567081
45901,HTMall,KitKat,33,7.59,7,4.714285714,1.084285714,0.6673021926,1.017017285,0.8246739843
45901,HTMall,Laviva,117,31.2,39,3,0.8,3.717826501,4.180624414,3.926085562
45901,HTMall,Maltesers,186,-6.2,31,6,-0.2,2.955195424,-0.8307651079,1.251513185
45901,HTMall,Mars,40,11.2,8,5,1.4,0.7626310772,1.500736969,1.094778729
45901,HTMall,Mirinda,81,20.25,27,3,0.75,2.573879886,2.713386038,2.636657654
45901,HTMall,MrCrunch,145,77.43,29,5,2.67,2.764537655,10.37518424,6.189328619
45901,HTMall,Pepsi,252,63,84,3,0.75,8.007626311,8.441645451,8.202934924
45901,HTMall,Pepsi 500ml,39,15.21,13,3,1.17,1.2392755,2.038054402,1.598726006
45901,HTMall,Schweppes,2,0,1,2,0,0.09532888465,0,0.05243088656
45901,HTMall,Skittles,126,21.06,18,7,1.17,1.715919924,2.821921479,2.213620624
45901,HTMall,Snickers,65,6.5,13,5,0.5,1.2392755,0.8709634195,1.073535064
45901,HTMall,Tiger *12,870,334.08,174,5,1.92,16.58722593,44.76483988,29.26715221
45901,HTMall,Twix,65,19.5,13,5,1.5,1.2392755,2.612890259,1.857402142
45901,HTMall,Water,1061,746.3,1049,1.011439466,0.7114394662,100,100,100
45901,HTMall,X!R,275,82.5,55,5,1.5,5.243088656,11.05453571,7.85823983
45901,HTMall,bonart,671,5.24,228,2.942982456,0.02298245614,21.7349857,0.7021305105,12.27020087
45901,HTMall,kinza,478,109.94,239,2,0.46,22.78360343,14.73134128,19.16008547
45901,HTMall,mr bite,216,72.36,108,2,0.67,10.29551954,9.695832775,10.0256605
45901,HTMall,sunTop,333,133.2,333,1,0.4,31.74451859,17.84805038,25.4911079
45901,HospAlmoa,7up,30,7.5,10,3,0.75,2.923976608,3.13283208,3.017961571
45901,HospAlmoa,Almarai Chocolate,153,51,51,3,1,14.9122807,21.30325815,17.78822055
45901,HospAlmoa,Bourbon biscuit,37,8.8,6,6.166666667,1.466666667,1.754385965,3.675856307,2.619047619
45901,HospAlmoa,Caser Juice,170,29.58,34,5,0.87,9.941520468,12.35588972,11.02798663
45901,HospAlmoa,Corissant Karuzo,33,18.37,11,3,1.67,3.216374269,7.673350042,5.222013367
45901,HospAlmoa,Digestive,70,25.9,70,1,0.37,20.46783626,10.81871345,16.12573099
45901,HospAlmoa,Doritos cool ranc,171,75.8,34,5.029411765,2.229411765,9.941520468,31.66248956,19.71595656
45901,HospAlmoa,Freez,95,30.21,19,5,1.59,5.555555556,12.61904762,8.734126984
45901,HospAlmoa,Green,8,2.08,2,4,1.04,0.5847953216,0.8688387636,0.7126148705
45901,HospAlmoa,Ivsar water,8,2.76,2,4,1.38,0.5847953216,1.152882206,0.8404344194
45901,HospAlmoa,Justo Drink,8,4,4,2,1,1.169590643,1.670843776,1.395154553
45901,HospAlmoa,Kinder Bueno,306,10.2,51,6,0.2,14.9122807,4.260651629,10.11904762
45901,HospAlmoa,Kinder bueno1stick,92,23,23,4,1,6.725146199,9.607351713,8.02213868
45901,HospAlmoa,KitKat,110,26.51,23,4.782608696,1.152608696,6.725146199,11.07351713,8.681913116
45901,HospAlmoa,Kunuz Juice,39,13,13,3,1,3.801169591,5.430242272,4.534252297
45901,HospAlmoa,Laviva,75,20,25,3,0.8,7.30994152,8.354218881,7.779866332
45901,HospAlmoa,Lovita cookies,182,47.32,26,7,1.82,7.602339181,19.76608187,13.07602339
45901,HospAlmoa,Maltesers,108,-3.6,18,6,-0.2,5.263157895,-1.503759398,2.218045113
45901,HospAlmoa,Mars,105,29.4,21,5,1.4,6.140350877,12.28070175,8.903508772
45901,HospAlmoa,Mirinda,42,10.5,14,3,0.75,4.093567251,4.385964912,4.225146199
45901,HospAlmoa,MrCrunch,230,122.82,46,5,2.67,13.4502924,51.30325815,30.48412698
45901,HospAlmoa,Pepsi,192,48,64,3,0.75,18.71345029,20.05012531,19.31495405
45901,HospAlmoa,Pretzels,155,54.25,31,5,1.75,9.064327485,22.66081871,15.18274854
45901,HospAlmoa,Schweppes,29,11,9,3.222222222,1.222222222,2.631578947,4.594820384,3.515037594
45901,HospAlmoa,Snickers,225,22.5,45,5,0.5,13.15789474,9.398496241,11.46616541
45901,HospAlmoa,Tiger *12,475,182.4,95,5,1.92,27.77777778,76.19047619,49.56349206
45901,HospAlmoa,Tropia,30,10.5,6,5,1.75,1.754385965,4.385964912,2.938596491
45901,HospAlmoa,Twix,240,72,48,5,1.5,14.03508772,30.07518797,21.25313283
45901,HospAlmoa,Water,342,239.4,342,1,0.7,100,100,100
45901,HospAlmoa,X!R,330,99,66,5,1.5,19.29824561,41.35338346,29.22305764
45901,HospAlmoa,mr bite,154,51.59,77,2,0.67,22.51461988,21.5497076,22.08040936
45901,HospAlmoa,sunTop,75,30,75,1,0.4,21.92982456,12.53132832,17.70050125
45901,SeaCost,Almarai Strawberry,6,1.84,2,3,0.92,8.695652174,5.867346939,7.422914818
45901,SeaCost,Doritos Dinamita,6,-1,1,6,-1,4.347826087,-3.18877551,0.9563553682
45901,SeaCost,Ono cake,12,9.2,4,3,2.3,17.39130435,29.33673469,22.766748
45901,SeaCost,Pepsi 500ml,6,4.17,1,6,4.17,4.347826087,13.29719388,8.375041593
45901,SeaCost,Schweppes,15,5,5,3,1,21.73913043,15.94387755,19.13126664
45901,SeaCost,Skittles drink,15,-8.75,5,3,-1.75,21.73913043,-27.90178571,-0.5992818323
45901,SeaCost,Tiger *12,56,31.36,8,7,3.92,34.7826087,100,64.13043478
45901,SeaCost,Toren Dark Chocolate,2,1.09,1,2,1.09,4.347826087,3.475765306,3.955398736
45901,SeaCost,Water,23,16.1,23,1,0.7,100,51.33928571,78.10267857
45901,SeaCost,bonart,6,0.16,2,3,0.08,8.695652174,0.5102040816,5.012200532
45901,SeaCost,kinza,12,7.38,3,4,2.46,13.04347826,23.53316327,17.76383651
45901,SeaCost,m&m,12,8.21,1,12,8.21,4.347826087,26.17984694,14.17223547
45901,SeaCost,mr bite,2,0.67,1,2,0.67,4.347826087,2.136479592,3.352720164
45901,SeaCost,sunTop,15,10.2,8,1.875,1.275,34.7826087,32.5255102,33.76691437
45901,SeaCost,zigi marinated peanuts,12,5,2,6,2.5,8.695652174,15.94387755,11.95735359
45931,DPMall,Doritos nacho,765,765,153,5,5,30.2970297,100,61.66336634
45931,DPMall,Freez drink,45,45,14,3.214285714,3.214285714,2.772277228,5.882352941,4.171811299
45931,DPMall,Gardena,63,63,15,4.2,4.2,2.97029703,8.235294118,5.339545719
45931,DPMall,Green,72,72,24,3,3,4.752475248,9.411764706,6.849155504
45931,DPMall,Laviva,102,102,34,3,3,6.732673267,13.33333333,9.702970297
45931,DPMall,Maltesers,144,144,24,6,6,4.752475248,18.82352941,11.08444962
45931,DPMall,Marshmellow sweetBag,78,78,22,3.545454545,3.545454545,4.356435644,10.19607843,6.984274898
45931,DPMall,Tiger *12,715,715,143,5,5,28.31683168,93.46405229,57.63308096
45931,DPMall,Wafe up extra,84,84,17,4.941176471,4.941176471,3.366336634,10.98039216,6.792661619
45931,DPMall,Water,505,505,505,1,1,100,66.0130719,84.70588235
45931,DPMall,X!R,660,660,132,5,5,26.13861386,86.2745098,53.19976704
45931,DPMall,bonart sour,100,100,20,5,5,3.96039604,13.07189542,8.060570763
45931,DPMall,helo kitty,46,46,12,3.833333333,3.833333333,2.376237624,6.013071895,4.012813046
45931,DPMall,ifrui juice,81,81,27,3,3,5.346534653,10.58823529,7.705299942
45931,DPMall,kinder bueno,96,96,16,6,6,3.168316832,12.54901961,7.389633081
45931,DPMall,kinza,124,124,54,2.296296296,2.296296296,10.69306931,16.20915033,13.17530577
45931,DPMall,kitkat,64,64,10,6.4,6.4,1.98019802,8.366013072,4.853814793
45931,DPMall,mr bite,126,126,63,2,2,12.47524752,16.47058824,14.27315084
45931,DPMall,ono cake,126,126,42,3,3,8.316831683,16.47058824,11.98602213
45931,DPMall,pepsi 500ml,54,54,18,3,3,3.564356436,7.058823529,5.136866628
45931,DPMall,snickers,30,30,6,5,5,1.188118812,3.921568627,2.418171229
45931,DPMall,sunTop,93,93,93,1,1,18.41584158,12.15686275,15.59930111
45931,DPMall,vitaGo,66,66,22,3,3,4.356435644,8.62745098,6.278392545
45931,DPMall,xo energy,78,78,26,3,3,5.148514851,10.19607843,7.419918462
45931,HTMall,7up,87,21.75,29,3,0.75,3.344867359,3.548702888,3.436593347
45931,HTMall,Almarai Chocolate,72,24,24,3,1,2.76816609,3.915810083,3.284605887
45931,HTMall,Almarai Strawberry,117,35.88,39,3,0.92,4.498269896,5.854136074,5.108409676
45931,HTMall,Bounty,40,10,8,5,1.25,0.92272203,1.631587535,1.241711507
45931,HTMall,Doritos cool ranc,589,258.6,118,4.991525424,2.191525424,13.61014994,42.19285365,26.47236661
45931,HTMall,Doritos real,21,3,3,7,1,0.3460207612,0.4894762604,0.4105757359
45931,HTMall,Freez,31,7.13,7,4.428571429,1.018571429,0.8073817762,1.163321912,0.9675548374
45931,HTMall,Green,16,4.16,4,4,1.04,0.461361015,0.6787404144,0.5591817447
45931,HTMall,Haribo,9,3.75,3,3,1.25,0.3460207612,0.6118453255,0.4656418152
45931,HTMall,Kinder Bueno,210,7,35,6,0.2,4.036908881,1.142111274,2.734249958
45931,HTMall,Kinder bueno1stick,56,14,14,4,1,1.614763552,2.284222549,1.916020101
45931,HTMall,Laviva,288,76.8,96,3,0.8,11.07266436,12.53059227,11.72873192
45931,HTMall,Maltesers,186,-6.2,31,6,-0.2,3.575547866,-1.011584271,1.511338404
45931,HTMall,Mars,50,14,10,5,1.4,1.153402537,2.284222549,1.662271542
45931,HTMall,Mirinda,120,30,40,3,0.75,4.61361015,4.894762604,4.740128754
45931,HTMall,MrCrunch,170,90.78,34,5,2.67,3.921568627,14.81155164,8.822060983
45931,HTMall,MrCrunch Normal,155,91.45,31,5,2.95,3.575547866,14.920868,8.680941928
45931,HTMall,Pepsi,219,54.75,73,3,0.75,8.419838524,8.932941752,8.650734977
45931,HTMall,Pepsi 500ml,72,28.08,24,3,1.17,2.76816609,4.581497797,3.584165358
45931,HTMall,Rani,36,9.96,12,3,0.83,1.384083045,1.625061185,1.492523208
45931,HTMall,Schweppes,6,2,2,3,1,0.2306805075,0.3263175069,0.2737171572
45931,HTMall,Skittles,161,26.91,23,7,1.17,2.652825836,4.390602056,3.434825135
45931,HTMall,Snickers,154,1,34,4.529411765,0.02941176471,3.921568627,0.1631587535,2.230284184
45931,HTMall,Tiger *12,1325,508.8,265,5,1.92,30.56516724,83.01517376,54.16767018
45931,HTMall,Twix,50,15,10,5,1.5,1.153402537,2.447381302,1.735692982
45931,HTMall,Twix ex,40,22.5,10,4,2.25,1.153402537,3.671071953,2.286353774
45931,HTMall,Water,873,612.9,867,1.006920415,0.7069204152,100,100,100
45931,HTMall,X!R,345,103.5,69,5,1.5,7.958477509,16.88693098,11.97628157
45931,HTMall,bonart,427,126.24,103,4.145631068,1.225631068,11.88004614,20.59716104,15.80274784
45931,HTMall,ex mars,4,1.4,1,4,1.4,0.1153402537,0.2284222549,0.1662271542
45931,HTMall,kinza,272,81.04,124,2.193548387,0.6535483871,14.30219146,13.22238538,13.81627873
45931,HTMall,mr bite,286,95.81,143,2,0.67,16.49365629,15.63224017,16.10601903
45931,HTMall,sunTop,423,196.8,377,1.122015915,0.5220159151,43.48327566,32.10964268,38.36514082
45931,HospAlmoa,7up,9,2.25,3,3,0.75,1.01010101,0.9227362205,0.9707868548
45931,HospAlmoa,Almarai Chocolate,171,57,57,3,1,19.19191919,23.37598425,21.07474847
45931,HospAlmoa,Almarai Strawberry,105,32.2,35,3,0.92,11.78451178,13.20538058,12.42390274
45931,HospAlmoa,Bourbon biscuit,24,5.2,4,6,1.3,1.346801347,2.132545932,1.70038641
45931,HospAlmoa,Caser Juice,261,46.24,52,5.019230769,0.8892307692,17.50841751,18.96325459,18.1630942
45931,HospAlmoa,Corissant Karuzo,24,16.02,6,4,2.67,2.02020202,6.56988189,4.067557962
45931,HospAlmoa,Digestive,107,38.33,109,0.9816513761,0.3516513761,36.7003367,15.71932415,27.25888105
45931,HospAlmoa,Doritos cool ranc,144,68.4,27,5.333333333,2.533333333,9.090909091,28.0511811,17.6230315
45931,HospAlmoa,Freez,44,9.9,10,4.4,0.99,3.367003367,4.06003937,3.678869568
45931,HospAlmoa,Green,8,2.08,2,4,1.04,0.6734006734,0.8530183727,0.7542286381
